Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,country_url
1,=,Shakira - Dai Dai (w/ Burna Boy),69.0,1.0,(x23),5380338.0,48717.0,41366436.0,-1238079.0,253812004.0,https://kworb.net/spotify/country/global_daily.html
2,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),152.0,1.0,(x31),4093650.0,56745.0,29238799.0,121726.0,651419967.0,https://kworb.net/spotify/country/global_daily.html
3,=,Ariana Grande - hate that i made you love me,61.0,1.0,(x16),3877044.0,82716.0,26399724.0,-83874.0,285815522.0,https://kworb.net/spotify/country/global_daily.html
4,=,Malcolm Todd - Earrings,121.0,1.0,(x1),3585484.0,-19069.0,25107023.0,-161551.0,375427117.0,https://kworb.net/spotify/country/global_daily.html
5,=,Michael Jackson - Billie Jean,492.0,1.0,(x19),3549258.0,79685.0,25357755.0,61425.0,1007186709.0,https://kworb.net/spotify/country/global_daily.html
6,=,Dominic Fike - Babydoll,248.0,1.0,(x4),3424332.0,42469.0,24113492.0,-122535.0,864786471.0,https://kworb.net/spotify/country/global_daily.html
7,=,BTS - SWIM,131.0,1.0,(x25),3295046.0,154426.0,22971494.0,-154516.0,727442172.0,https://kworb.net/spotify/country/global_daily.html
8,+2,Temper City - Self Aware,114.0,5.0,,3148405.0,87028.0,21524368.0,-526768.0,299283792.0,https://kworb.net/spotify/country/global_daily.html
9,=,Katy Perry - The One That Got Away,132.0,8.0,,3091958.0,24301.0,21710766.0,-28272.0,362793810.0,https://kworb.net/spotify/country/global_daily.html
10,-2,Oasis - Wonderwall - Remastered,1012.0,1.0,(x2),3065754.0,-14816.0,22613296.0,-526580.0,892261596.0,https://kworb.net/spotify/country/global_daily.html
11,=,Olivia Rodrigo - stupid song,47.0,1.0,(x10),3020430.0,95225.0,20204957.0,42443.0,192430868.0,https://kworb.net/spotify/country/global_daily.html
12,+1,KATSEYE - Animal,5.0,9.0,,2952442.0,88732.0,14917732.0,2952442.0,14917732.0,https://kworb.net/spotify/country/global_daily.html
13,-1,Olivia Rodrigo - the cure,68.0,1.0,(x1),2930644.0,45082.0,20109287.0,-30713.0,264917918.0,https://kworb.net/spotify/country/global_daily.html
14,=,sombr - back to friends,498.0,1.0,(x3),2829775.0,127694.0,19101410.0,-4214.0,2015768444.0,https://kworb.net/spotify/country/global_daily.html
15,=,Olivia Rodrigo - drop dead,103.0,1.0,(x1),2720429.0,49074.0,19065442.0,-98272.0,385563661.0,https://kworb.net/spotify/country/global_daily.html
16,+1,The Goo Goo Dolls - Iris,1048.0,9.0,,2656141.0,52098.0,18208641.0,-408821.0,2205172532.0,https://kworb.net/spotify/country/global_daily.html
17,-1,Ella Langley - Choosin' Texas,209.0,12.0,,2613219.0,4513.0,19203931.0,-35105.0,500158716.0,https://kworb.net/spotify/country/global_daily.html
18,+2,Djo - End of Beginning,893.0,1.0,(x35),2494540.0,124186.0,17089423.0,-230410.0,2724270875.0,https://kworb.net/spotify/country/global_daily.html
19,=,Michael Jackson - Beat It,117.0,5.0,,2491746.0,7569.0,18039634.0,-80068.0,370305817.0,https://kworb.net/spotify/country/global_daily.html
20,+2,Lady Gaga - Die With A Smile (w/ Bruno Mars),712.0,1.0,(x201),2459402.0,121397.0,16947080.0,13018.0,3809511922.0,https://kworb.net/spotify/country/global_daily.html
21,-3,Olivia Dean - Man I Need,343.0,2.0,(x5),2458863.0,-32706.0,17709572.0,-30773.0,1290882698.0,https://kworb.net/spotify/country/global_daily.html
22,+4,Taylor Swift - The Fate of Ophelia,299.0,1.0,(x78),2422304.0,137500.0,16502874.0,45659.0,1532060056.0,https://kworb.net/spotify/country/global_daily.html
23,+1,Alex Warren - Ordinary,537.0,1.0,(x52),2408835.0,96928.0,16697882.0,-82828.0,2033572463.0,https://kworb.net/spotify/country/global_daily.html
24,-1,Ravyn Lenae - Love Me Not,497.0,8.0,,2388863.0,53604.0,16770285.0,-174225.0,1255019806.0,https://kworb.net/spotify/country/global_daily.html
25,-4,Bad Bunny - DtMF,570.0,1.0,(x43),2343899.0,-386.0,17297472.0,-172317.0,2037279412.0,https://kworb.net/spotify/country/global_daily.html
26,-1,Shawn Mendes - Treat You Better,698.0,4.0,,2316734.0,24542.0,15963585.0,78904.0,902242236.0,https://kworb.net/spotify/country/global_daily.html
27,+1,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),117.0,21.0,,2260268.0,68822.0,15666123.0,60363.0,187917060.0,https://kworb.net/spotify/country/global_daily.html
28,-1,The Killers - Mr. Brightside,1811.0,25.0,,2218818.0,-53643.0,15878380.0,-140805.0,1898812352.0,https://kworb.net/spotify/country/global_daily.html
29,=,Gigi Perez - Sailor Song,710.0,5.0,,2201145.0,43288.0,15103924.0,-81763.0,2008717176.0,https://kworb.net/spotify/country/global_daily.html
30,+3,Shakira - Hips Don't Lie (w/ Wyclef Jean),460.0,25.0,,2165233.0,64706.0,15827690.0,177672.0,642406126.0,https://kworb.net/spotify/country/global_daily.html
31,+1,eÅau - Sesi Potret (w/ Ari Lesmana),71.0,14.0,,2161859.0,60190.0,15575596.0,-16061.0,140860168.0,https://kworb.net/spotify/country/global_daily.html
32,+3,Billie Eilish - BIRDS OF A FEATHER,803.0,1.0,(x25),2159606.0,103468.0,14945094.0,18750.0,3831633631.0,https://kworb.net/spotify/country/global_daily.html
33,-3,Bruno Mars - Risk It All,152.0,1.0,(x2),2147623.0,9017.0,15342524.0,-65479.0,509809754.0,https://kworb.net/spotify/country/global_daily.html
34,-3,The Neighbourhood - Sweater Weather,2249.0,12.0,,2121990.0,9879.0,14891586.0,-172304.0,4139308822.0,https://kworb.net/spotify/country/global_daily.html
35,-1,The Police - Every Breath You Take,1748.0,6.0,,2116865.0,24696.0,14850304.0,-175884.0,2601108515.0,https://kworb.net/spotify/country/global_daily.html
36,+1,Olivia Dean - So Easy (To Fall In Love),305.0,5.0,,2087184.0,53994.0,14743201.0,13512.0,956763911.0,https://kworb.net/spotify/country/global_daily.html
37,+5,Bruno Mars - Locked out of Heaven,1677.0,14.0,,2079692.0,78275.0,14494325.0,73326.0,2280540672.0,https://kworb.net/spotify/country/global_daily.html
38,=,Bad Bunny - NUEVAYoL,570.0,2.0,(x1),2049580.0,24519.0,15207447.0,-145900.0,1415343569.0,https://kworb.net/spotify/country/global_daily.html
39,=,Aitana - SUPERESTRELLA,10.0,32.0,,2046757.0,25832.0,14719747.0,-81893.0,19621553.0,https://kworb.net/spotify/country/global_daily.html
40,=,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),165.0,7.0,,2038656.0,22273.0,14636969.0,-136048.0,424241782.0,https://kworb.net/spotify/country/global_daily.html
41,-5,Vance Joy - Riptide,2715.0,16.0,,2024511.0,-16550.0,14104449.0,-68443.0,2914396429.0,https://kworb.net/spotify/country/global_daily.html
42,+2,Zara Larsson - Lush Life,890.0,4.0,,2010250.0,35678.0,14494163.0,-38634.0,1240040749.0,https://kworb.net/spotify/country/global_daily.html
43,+2,Drake - Janice STFU,75.0,4.0,,2007528.0,37085.0,14119365.0,-84239.0,236571027.0,https://kworb.net/spotify/country/global_daily.html
44,+2,Harry Styles - Sign of the Times,460.0,13.0,,2005883.0,39232.0,13773936.0,-180413.0,602405939.0,https://kworb.net/spotify/country/global_daily.html
45,-4,Mac Miller - Cinderella (w/ Ty Dolla $ign),70.0,32.0,,1995148.0,-12516.0,14069287.0,-117742.0,135263657.0,https://kworb.net/spotify/country/global_daily.html
46,-3,Dave - Raindance (w/ Tems),238.0,5.0,,1994579.0,13147.0,14196931.0,-148579.0,676300010.0,https://kworb.net/spotify/country/global_daily.html
47,=,Bad Bunny - BAILE INoLVIDABLE,570.0,2.0,(x15),1975481.0,38360.0,14401760.0,-144893.0,1662321631.0,https://kworb.net/spotify/country/global_daily.html
48,+1,"Drake - One Dance (w/ Wizkid, Kyla)",2264.0,1.0,(x101),1953186.0,31779.0,13611906.0,38045.0,3398646203.0,https://kworb.net/spotify/country/global_daily.html
49,-1,Radiohead - Creep,971.0,22.0,,1952084.0,22961.0,13613860.0,71065.0,1597198879.0,https://kworb.net/spotify/country/global_daily.html
50,+1,Jennifer Lopez - On The Floor (w/ Pitbull),73.0,21.0,,1897506.0,42617.0,13563728.0,-88256.0,164191541.0,https://kworb.net/spotify/country/global_daily.html
51,-1,Coldplay - Yellow,2038.0,15.0,,1854496.0,-49920.0,13026503.0,-44094.0,3144073372.0,https://kworb.net/spotify/country/global_daily.html
52,=,Olivia Rodrigo - honeybee,47.0,4.0,,1848686.0,1178.0,12853470.0,-155848.0,133739339.0,https://kworb.net/spotify/country/global_daily.html
53,+2,The Weeknd - Starboy (w/ Daft Punk),2224.0,1.0,(x40),1848250.0,48012.0,12666668.0,-37810.0,3858961320.0,https://kworb.net/spotify/country/global_daily.html
54,+2,Bruno Mars - Just the Way You Are,1326.0,24.0,,1842305.0,57007.0,12769149.0,73871.0,1893306152.0,https://kworb.net/spotify/country/global_daily.html
55,+3,RAYE - WHERE IS MY HUSBAND!,313.0,5.0,,1835739.0,60231.0,13133441.0,-57434.0,933727413.0,https://kworb.net/spotify/country/global_daily.html
56,+1,Benson Boone - Beautiful Things,922.0,1.0,(x35),1818240.0,40873.0,12819746.0,-56686.0,3045930145.0,https://kworb.net/spotify/country/global_daily.html
57,-3,pupsies - misery.,28.0,51.0,,1814329.0,2537.0,12835537.0,-36835.0,44217493.0,https://kworb.net/spotify/country/global_daily.html
58,-5,Michael Jackson - Chicago,94.0,12.0,,1792872.0,-29463.0,13116994.0,-194310.0,220226924.0,https://kworb.net/spotify/country/global_daily.html
59,+1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",1025.0,2.0,(x2),1781186.0,24642.0,12189121.0,103052.0,2643182655.0,https://kworb.net/spotify/country/global_daily.html
60,+7,Harry Styles - As It Was,1530.0,1.0,(x81),1774303.0,70795.0,12228558.0,78684.0,4426612369.0,https://kworb.net/spotify/country/global_daily.html
61,-2,"LE SSERAFIM - ICONIC BY MISTAKE (w/ ILLIT, KATSEYE)",47.0,18.0,,1762884.0,-1612.0,12782583.0,-110496.0,108166429.0,https://kworb.net/spotify/country/global_daily.html
62,+3,Arctic Monkeys - I Wanna Be Yours,1483.0,11.0,,1741925.0,29444.0,11937045.0,19266.0,3371248296.0,https://kworb.net/spotify/country/global_daily.html
63,-1,Fat Papi - FREAKED OUT (w/ prodshushy),17.0,58.0,,1739583.0,-2423.0,12323540.0,-91751.0,28291941.0,https://kworb.net/spotify/country/global_daily.html
64,-3,Fleetwood Mac - Dreams - 2001 Remaster,107.0,43.0,,1734395.0,-8415.0,12567718.0,-30052.0,198102711.0,https://kworb.net/spotify/country/global_daily.html
65,+1,"HUNTR/X - Golden (w/ EJae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",402.0,1.0,(x78),1730287.0,26411.0,12572544.0,-49584.0,1824509329.0,https://kworb.net/spotify/country/global_daily.html
66,+3,Linkin Park - In the End,1141.0,8.0,,1728605.0,84535.0,11729833.0,-12172.0,1646612881.0,https://kworb.net/spotify/country/global_daily.html
67,-4,Tulus - Teh Hijau,23.0,35.0,,1709470.0,-24390.0,12367077.0,28866.0,38057272.0,https://kworb.net/spotify/country/global_daily.html
68,=,Don Omar - Danza Kuduro (w/ Lucenzo),931.0,45.0,,1707068.0,19287.0,12640238.0,-103886.0,1318726696.0,https://kworb.net/spotify/country/global_daily.html
69,+1,Coldplay - Viva La Vida,1458.0,27.0,,1648548.0,5014.0,11671411.0,-59012.0,2281848073.0,https://kworb.net/spotify/country/global_daily.html
70,+5,Justin Bieber - DAISIES,377.0,1.0,(x1),1643133.0,58098.0,11581434.0,-129573.0,911909392.0,https://kworb.net/spotify/country/global_daily.html
71,=,Bruno Mars - I Just Might,201.0,3.0,(x9),1640910.0,25854.0,11724030.0,122829.0,521901168.0,https://kworb.net/spotify/country/global_daily.html
72,+16,"HUGEL - Movin' To The Sun (w/ Imael Angel, Ultra NatÃ©)",21.0,66.0,,1611776.0,124056.0,10857382.0,141280.0,30180267.0,https://kworb.net/spotify/country/global_daily.html
73,+1,Arctic Monkeys - 505,1666.0,40.0,,1596750.0,8566.0,11030637.0,5132.0,2453055581.0,https://kworb.net/spotify/country/global_daily.html
74,+7,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),2418.0,1.0,(x16),1593764.0,74334.0,10715440.0,75873.0,3757242313.0,https://kworb.net/spotify/country/global_daily.html
75,+2,Ed Sheeran - Shape of You,2944.0,1.0,(x98),1589351.0,28247.0,11154603.0,-120705.0,4425378362.0,https://kworb.net/spotify/country/global_daily.html
76,-3,Dominic Fike - White Keys,157.0,22.0,,1587311.0,-7160.0,11284277.0,-137373.0,339543829.0,https://kworb.net/spotify/country/global_daily.html
77,-13,JENNIE - Less than a Lover,5.0,34.0,,1585725.0,-138254.0,8622711.0,1585725.0,8622711.0,https://kworb.net/spotify/country/global_daily.html
78,=,"Ya Ice Dilan - Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)",29.0,78.0,,1584786.0,30472.0,10951466.0,147757.0,39292091.0,https://kworb.net/spotify/country/global_daily.html
79,-3,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),203.0,1.0,(x10),1578059.0,7763.0,11368739.0,-135548.0,606272451.0,https://kworb.net/spotify/country/global_daily.html
80,-1,Sabrina Carpenter - Espresso,838.0,1.0,(x32),1577993.0,38724.0,11101880.0,928.0,3078561339.0,https://kworb.net/spotify/country/global_daily.html
81,-9,Don Miguelo - Y Que Fue?,10.0,54.0,,1576421.0,-21736.0,12390339.0,-232514.0,16933750.0,https://kworb.net/spotify/country/global_daily.html
82,=,Nirvana - Smells Like Teen Spirit - Remastered,856.0,78.0,,1571807.0,60046.0,10952205.0,26867.0,1006381391.0,https://kworb.net/spotify/country/global_daily.html
83,+1,Tame Impala - Dracula,267.0,27.0,,1567090.0,63861.0,10926554.0,-126574.0,469958174.0,https://kworb.net/spotify/country/global_daily.html
84,-4,ANOTR - Talk To You (ft. 54 Ultra),45.0,56.0,,1560316.0,34944.0,11066254.0,-17830.0,66536753.0,https://kworb.net/spotify/country/global_daily.html
85,+1,Bruno Mars - That's What I Like,1383.0,5.0,,1530973.0,34789.0,10671186.0,13861.0,2021248875.0,https://kworb.net/spotify/country/global_daily.html
86,-3,Journey - Don't Stop Believin' (2022 Remaster),521.0,40.0,,1520574.0,9397.0,10909119.0,82536.0,753314231.0,https://kworb.net/spotify/country/global_daily.html
87,+14,BTS - NORMAL,108.0,6.0,,1519365.0,75018.0,12367139.0,-494416.0,235675409.0,https://kworb.net/spotify/country/global_daily.html
88,-3,KAROL G - Si Antes Te Hubiera Conocido,712.0,4.0,,1519090.0,22646.0,11128688.0,59410.0,1775871885.0,https://kworb.net/spotify/country/global_daily.html
89,+2,Evanescence - Bring Me To Life,470.0,72.0,,1510663.0,46494.0,10444324.0,-3039.0,651891987.0,https://kworb.net/spotify/country/global_daily.html
90,-1,The Weeknd - Blinding Lights,2430.0,1.0,(x82),1504906.0,17634.0,10398087.0,331.0,5429661400.0,https://kworb.net/spotify/country/global_daily.html
91,-4,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",1337.0,57.0,,1496752.0,4594.0,10402126.0,79320.0,1712771667.0,https://kworb.net/spotify/country/global_daily.html
92,+15,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",640.0,58.0,,1493929.0,60756.0,10441408.0,-43963.0,901030761.0,https://kworb.net/spotify/country/global_daily.html
93,-3,Lord Huron - The Night We Met,1456.0,15.0,,1493105.0,23871.0,10040901.0,47696.0,2659898544.0,https://kworb.net/spotify/country/global_daily.html
94,+4,SIENNA SPIRO - Great Expectation,21.0,87.0,,1492460.0,40658.0,9610662.0,102585.0,28545036.0,https://kworb.net/spotify/country/global_daily.html
95,+9,Justin Bieber - Baby (w/ Ludacris),109.0,5.0,,1488824.0,50940.0,10554113.0,37177.0,226448792.0,https://kworb.net/spotify/country/global_daily.html
96,+20,DJ Snake - Let Me Love You (w/ Justin Bieber),938.0,2.0,(x7),1484149.0,89903.0,10161166.0,25722.0,1535402708.0,https://kworb.net/spotify/country/global_daily.html
97,-2,Billie Eilish - WILDFLOWER,803.0,8.0,,1482528.0,26566.0,10215928.0,-25767.0,2126430789.0,https://kworb.net/spotify/country/global_daily.html
98,-5,Sam Fender - Rein Me In (w/ Olivia Dean),152.0,53.0,,1476436.0,17705.0,10489226.0,-113655.0,260320211.0,https://kworb.net/spotify/country/global_daily.html
99,=,Shawn Mendes - There's Nothing Holdin' Me Back,677.0,5.0,,1473830.0,22090.0,10306456.0,87826.0,876015997.0,https://kworb.net/spotify/country/global_daily.html
100,-6,ROSÃ - APT. (w/ Bruno Mars),649.0,1.0,(x28),1470987.0,12819.0,10721863.0,88012.0,2492294498.0,https://kworb.net/spotify/country/global_daily.html
101,+1,Justin Bieber - Confident - Single Version (w/ Chance the Rapper),270.0,6.0,,1470704.0,28221.0,10501665.0,-10947.0,423338442.0,https://kworb.net/spotify/country/global_daily.html
102,-6,OneRepublic - Counting Stars,2624.0,31.0,,1465856.0,11696.0,10308729.0,-55880.0,2555105001.0,https://kworb.net/spotify/country/global_daily.html
103,+3,"Tyler, The Creator - See You Again (w/ Kali Uchis)",1195.0,13.0,,1465785.0,31498.0,10087458.0,31596.0,2204689033.0,https://kworb.net/spotify/country/global_daily.html
104,+1,Maroon 5 - Payphone (w/ Wiz Khalifa),840.0,46.0,,1465589.0,28001.0,10215979.0,-16432.0,938906783.0,https://kworb.net/spotify/country/global_daily.html
105,-13,Kendrick Lamar - All The Stars (w/ SZA),1145.0,2.0,(x14),1462804.0,743.0,9884319.0,93979.0,2037458854.0,https://kworb.net/spotify/country/global_daily.html
106,+11,Ariana Grande - we can't be friends (wait for your love),839.0,1.0,(x13),1457434.0,79357.0,9931346.0,-34033.0,1997743206.0,https://kworb.net/spotify/country/global_daily.html
107,-10,Rihanna - Only Girl (In The World),256.0,45.0,,1455873.0,2278.0,10317272.0,129061.0,340208306.0,https://kworb.net/spotify/country/global_daily.html
108,=,Linkin Park - Numb,830.0,12.0,,1452873.0,27539.0,10026038.0,21838.0,1196653546.0,https://kworb.net/spotify/country/global_daily.html
109,+2,Rihanna - Don't Stop The Music,246.0,56.0,,1452449.0,38739.0,10236970.0,-53514.0,343586335.0,https://kworb.net/spotify/country/global_daily.html
110,-10,Alyssa Grace - bloodstream,10.0,100.0,,1451997.0,7183.0,9310859.0,255391.0,12746989.0,https://kworb.net/spotify/country/global_daily.html
111,+3,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,96.0,7.0,,1446631.0,47266.0,10512808.0,-81276.0,227057780.0,https://kworb.net/spotify/country/global_daily.html
112,-2,Sabrina Carpenter - Manchild,418.0,1.0,(x5),1433577.0,15028.0,10298827.0,-148644.0,1057141361.0,https://kworb.net/spotify/country/global_daily.html
113,-4,Bad Bunny - TitÃ­ Me PreguntÃ³,612.0,4.0,,1429081.0,8689.0,10514344.0,-149855.0,1648731106.0,https://kworb.net/spotify/country/global_daily.html
114,+8,Justin Bieber - Sorry,877.0,1.0,(x55),1425669.0,69110.0,9848654.0,136230.0,1296424700.0,https://kworb.net/spotify/country/global_daily.html
115,+6,Rihanna - We Found Love (w/ Calvin Harris),947.0,18.0,,1418180.0,58636.0,9817128.0,80405.0,1148587541.0,https://kworb.net/spotify/country/global_daily.html
116,-4,sombr - Homewrecker,173.0,19.0,,1417225.0,12204.0,9880488.0,-77934.0,353686773.0,https://kworb.net/spotify/country/global_daily.html
117,-4,STELLA LEFTY - Boston,37.0,107.0,,1414994.0,10041.0,9966542.0,-14216.0,50061963.0,https://kworb.net/spotify/country/global_daily.html
118,-3,F3miii - NOBLE,83.0,37.0,,1404292.0,9282.0,9551144.0,44112.0,128145979.0,https://kworb.net/spotify/country/global_daily.html
119,+8,Guns N' Roses - Sweet Child O' Mine,569.0,83.0,,1403798.0,54935.0,9930566.0,-30524.0,683699935.0,https://kworb.net/spotify/country/global_daily.html
120,-2,Gorillaz - Feel Good Inc,572.0,39.0,,1400381.0,34120.0,9680293.0,26677.0,883170938.0,https://kworb.net/spotify/country/global_daily.html
121,-2,Bad Bunny - EoO,566.0,4.0,,1392915.0,31054.0,10084313.0,-124338.0,1208695538.0,https://kworb.net/spotify/country/global_daily.html
122,-2,Jay Wheeler - De Lejitos - Remix (w/ Omar Courtz),52.0,86.0,,1392222.0,30680.0,9648201.0,7210.0,72548346.0,https://kworb.net/spotify/country/global_daily.html
123,+3,Zara Larsson - Midnight Sun,192.0,68.0,,1385826.0,36847.0,9819712.0,-51063.0,285585999.0,https://kworb.net/spotify/country/global_daily.html
124,+1,"Taylor Swift - I Knew It, I Knew You",54.0,1.0,(x1),1383670.0,34438.0,9802718.0,-166675.0,121329331.0,https://kworb.net/spotify/country/global_daily.html
125,+4,SIENNA SPIRO - Die On This Hill,231.0,8.0,,1368712.0,21585.0,9657597.0,-94583.0,497492551.0,https://kworb.net/spotify/country/global_daily.html
126,+6,LOS DOS DE TAMAULIPAS - AyÃºdame,25.0,106.0,,1368607.0,31448.0,9736048.0,73228.0,32942246.0,https://kworb.net/spotify/country/global_daily.html
127,-3,Michael Jackson - Human Nature,94.0,8.0,,1365108.0,12600.0,9900321.0,-93308.0,216540641.0,https://kworb.net/spotify/country/global_daily.html
128,+5,Empire Of The Sun - We Are The People,371.0,63.0,,1364543.0,32345.0,9475907.0,-114746.0,527995026.0,https://kworb.net/spotify/country/global_daily.html
129,-6,Quevedo - LA GRACIOSA (w/ Elvis Crespo),23.0,105.0,,1360469.0,5647.0,9748778.0,-20808.0,29468265.0,https://kworb.net/spotify/country/global_daily.html
130,+6,Neton Vega - Nalguita y Teta,101.0,59.0,,1359377.0,34953.0,9731293.0,-49713.0,161926497.0,https://kworb.net/spotify/country/global_daily.html
131,+11,Rihanna - Umbrella (w/ JAÅ¸-Z),101.0,15.0,,1353891.0,65779.0,9313895.0,78255.0,133221604.0,https://kworb.net/spotify/country/global_daily.html
132,-2,Keane - Somewhere Only We Know,1314.0,60.0,,1347816.0,5508.0,9403630.0,-57757.0,1776946537.0,https://kworb.net/spotify/country/global_daily.html
133,+2,Danny Ocean - Me RehÃºso,746.0,18.0,,1338176.0,13176.0,9551919.0,-82339.0,976506040.0,https://kworb.net/spotify/country/global_daily.html
134,-31,Morgan Wallen - Been By Now,5.0,21.0,,1336463.0,-102865.0,8541328.0,1336463.0,8541328.0,https://kworb.net/spotify/country/global_daily.html
135,-1,Emmanuel Cortes - Amor,45.0,117.0,,1335964.0,9274.0,9546195.0,23681.0,57174947.0,https://kworb.net/spotify/country/global_daily.html
136,+5,TOTO - Africa,867.0,66.0,,1333743.0,38422.0,9360754.0,19528.0,823545046.0,https://kworb.net/spotify/country/global_daily.html
137,+8,Cigarettes After Sex - Apocalypse,1422.0,44.0,,1331170.0,48598.0,9087667.0,-55027.0,2008952262.0,https://kworb.net/spotify/country/global_daily.html
138,=,Teddy Swims - Lose Control,985.0,5.0,,1330748.0,24471.0,9467855.0,-60748.0,2505484034.0,https://kworb.net/spotify/country/global_daily.html
139,+8,sombr - 12 to 12,365.0,12.0,,1329781.0,49313.0,9053814.0,7047.0,737745434.0,https://kworb.net/spotify/country/global_daily.html
140,+4,JAÅ¸-Z - Empire State Of Mind (w/ Alicia Keys),55.0,88.0,,1328021.0,42176.0,9212926.0,27882.0,73570390.0,https://kworb.net/spotify/country/global_daily.html
141,-4,Coldplay - Sparks,683.0,26.0,,1319182.0,1838.0,9026372.0,668.0,1080354646.0,https://kworb.net/spotify/country/global_daily.html
142,+9,"El Bogueto - Cuando No Era Cantante RMX - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",32.0,50.0,,1319138.0,55133.0,9110687.0,114431.0,46266145.0,https://kworb.net/spotify/country/global_daily.html
143,-15,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),194.0,35.0,,1309971.0,-38413.0,9459237.0,-265020.0,351744471.0,https://kworb.net/spotify/country/global_daily.html
144,+5,French Montana - Unforgettable (w/ Swae Lee),1062.0,3.0,(x8),1309882.0,43322.0,9036946.0,10624.0,1559908302.0,https://kworb.net/spotify/country/global_daily.html
145,-2,Michael Jackson - Smooth Criminal - 2012 Remaster,98.0,27.0,,1297880.0,11459.0,9462398.0,-14092.0,188240143.0,https://kworb.net/spotify/country/global_daily.html
146,+4,The Weeknd - Timeless (w/ Playboi Carti),663.0,2.0,(x1),1296122.0,31678.0,8838355.0,46665.0,1595187915.0,https://kworb.net/spotify/country/global_daily.html
147,-16,Lana Del Rey - Young And Beautiful,434.0,79.0,,1294900.0,-45414.0,9199211.0,-57834.0,558110505.0,https://kworb.net/spotify/country/global_daily.html
148,=,KATSEYE - Gabriela,404.0,7.0,,1293919.0,15239.0,9247071.0,28043.0,901951618.0,https://kworb.net/spotify/country/global_daily.html
149,-9,Katy Perry - Last Friday Night (T.G.I.F.),196.0,101.0,,1293064.0,-2882.0,9183814.0,42667.0,253958341.0,https://kworb.net/spotify/country/global_daily.html
150,-4,Anuv Jain - Arz Kiya Hai | Coke Studio Bharat,26.0,108.0,,1287770.0,5493.0,9082528.0,68372.0,32527616.0,https://kworb.net/spotify/country/global_daily.html
151,+2,Rihanna - S&M,93.0,80.0,,1286666.0,36164.0,9064454.0,1286666.0,118263840.0,https://kworb.net/spotify/country/global_daily.html
152,+3,Ariana Grande - Love Me Harder (w/ The Weeknd),328.0,6.0,,1283012.0,34493.0,8798413.0,14790.0,218171202.0,https://kworb.net/spotify/country/global_daily.html
153,-1,Tame Impala - The Less I Know The Better,634.0,79.0,,1282278.0,25612.0,8869643.0,-24774.0,652310281.0,https://kworb.net/spotify/country/global_daily.html
154,+4,Justin Bieber - Love Yourself,939.0,1.0,(x25),1280861.0,41132.0,8838478.0,-51793.0,1223409947.0,https://kworb.net/spotify/country/global_daily.html
155,+17,Ariana Grande - Into You,411.0,12.0,,1276592.0,64607.0,8661585.0,51756.0,465443341.0,https://kworb.net/spotify/country/global_daily.html
156,-17,The Weeknd - Die For You,1586.0,9.0,,1273051.0,-26909.0,8891547.0,23285.0,2649252697.0,https://kworb.net/spotify/country/global_daily.html
157,+12,Black Eyed Peas - I Gotta Feeling,101.0,33.0,,1269918.0,54538.0,8754048.0,67941.0,127885515.0,https://kworb.net/spotify/country/global_daily.html
158,+20,Lady Gaga - Poker Face,450.0,24.0,,1263037.0,67111.0,8786788.0,1263037.0,599891754.0,https://kworb.net/spotify/country/global_daily.html
159,+4,Glass Animals - Heat Waves,1440.0,1.0,(x65),1260499.0,24117.0,8820582.0,-41411.0,3117452971.0,https://kworb.net/spotify/country/global_daily.html
160,-1,Creedence Clearwater Revival - Have You Ever Seen The Rain,572.0,58.0,,1259102.0,19451.0,9035993.0,-19184.0,786044532.0,https://kworb.net/spotify/country/global_daily.html
161,-1,Bonnie Tyler - Total Eclipse of the Heart,22.0,42.0,,1251243.0,11930.0,9123454.0,-103232.0,30765088.0,https://kworb.net/spotify/country/global_daily.html
162,-8,CORTIS - REDRED,98.0,36.0,,1246533.0,-2046.0,9038697.0,-134186.0,152643908.0,https://kworb.net/spotify/country/global_daily.html
163,-2,Omar Courtz - KOKO,133.0,49.0,,1245205.0,7385.0,8823110.0,-35577.0,205263537.0,https://kworb.net/spotify/country/global_daily.html
164,+7,Olivia Rodrigo - expectations,46.0,15.0,,1244577.0,30115.0,7324779.0,-25362.0,91558746.0,https://kworb.net/spotify/country/global_daily.html
165,-8,Coldplay - A Sky Full of Stars,1056.0,10.0,,1239534.0,-928.0,7396714.0,1239534.0,792298712.0,https://kworb.net/spotify/country/global_daily.html
