Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,country_url
149,-26,Coldplay - A Sky Full of Stars,983.0,12.0,,29198.0,-2586.0,212278.0,456.0,26581823.0,https://kworb.net/spotify/country/nl_daily.html
150,+22,Gospelize - Maladie - Gospel,34.0,100.0,,28878.0,1265.0,144822.0,-1420.0,1115737.0,https://kworb.net/spotify/country/nl_daily.html
151,+11,Senna - Kleine Vogel,325.0,49.0,,28844.0,408.0,221081.0,-290.0,11963783.0,https://kworb.net/spotify/country/nl_daily.html
152,+9,Justin Bieber - DAISIES,350.0,3.0,(x1),28809.0,236.0,176357.0,-2832.0,24833952.0,https://kworb.net/spotify/country/nl_daily.html
153,RE,Jan Smit - Als De Morgen Is Gekomen,16.0,59.0,,28575.0,,59158.0,3043.0,516729.0,https://kworb.net/spotify/country/nl_daily.html
154,+11,Bryan Adams - Summer Of '69,1122.0,76.0,,28539.0,354.0,196555.0,3090.0,31828448.0,https://kworb.net/spotify/country/nl_daily.html
155,-1,Aya Nakamura - Copines,232.0,32.0,,28420.0,-515.0,210921.0,-5682.0,10841372.0,https://kworb.net/spotify/country/nl_daily.html
156,+4,Bruno Mars - Just the Way You Are,252.0,21.0,,28327.0,-317.0,202839.0,-1300.0,8458079.0,https://kworb.net/spotify/country/nl_daily.html
157,-16,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),205.0,35.0,,28127.0,-1444.0,204854.0,-6139.0,9656618.0,https://kworb.net/spotify/country/nl_daily.html
158,-14,OMI - Cheerleader - Felix Jaehn Remix Radio Edit (w/ felix jaehn),376.0,30.0,,28115.0,-1363.0,204148.0,2225.0,6891195.0,https://kworb.net/spotify/country/nl_daily.html
159,-22,Olivia Rodrigo - drop dead,103.0,3.0,(x1),28097.0,-1798.0,209736.0,-3498.0,6028962.0,https://kworb.net/spotify/country/nl_daily.html
160,+13,"Freddy Moreira - Brokko Maken (w/ Bokoesam, Young Ellens)",6.0,67.0,,28090.0,582.0,117379.0,28090.0,195291.0,https://kworb.net/spotify/country/nl_daily.html
161,-36,Coldplay - Yellow,1009.0,24.0,,28070.0,-3283.0,207023.0,-857.0,32028338.0,https://kworb.net/spotify/country/nl_daily.html
162,-12,Kings of Leon - Sex on Fire,151.0,120.0,,27810.0,-1199.0,197265.0,-1093.0,4475542.0,https://kworb.net/spotify/country/nl_daily.html
163,-6,Donnie - Nachtenlang (w/ Yves Berendse),387.0,4.0,,27783.0,-1018.0,213968.0,27783.0,25171029.0,https://kworb.net/spotify/country/nl_daily.html
164,-1,"Taylor Swift - I Knew It, I Knew You",54.0,10.0,,27758.0,-670.0,201180.0,-1644.0,2134511.0,https://kworb.net/spotify/country/nl_daily.html
165,RE,Django Wagner - Kali,199.0,41.0,,27742.0,,87228.0,27742.0,6207900.0,https://kworb.net/spotify/country/nl_daily.html
166,-33,Mark Ronson - Valerie (w/ Amy Winehouse),447.0,80.0,,27672.0,-2651.0,203616.0,323.0,14566370.0,https://kworb.net/spotify/country/nl_daily.html
167,+23,"Bob Sinclar - World, Hold On - FISHER Rework (w/ Steve Edwards, FISHER)",279.0,67.0,,27646.0,1562.0,141035.0,27646.0,9341471.0,https://kworb.net/spotify/country/nl_daily.html
168,=,"Drake - One Dance (w/ Wizkid, Kyla)",1053.0,1.0,(x98),27606.0,-390.0,166293.0,-392.0,60974003.0,https://kworb.net/spotify/country/nl_daily.html
169,+6,Calvin Harris - Summer,646.0,7.0,,27602.0,200.0,196344.0,-677.0,14942829.0,https://kworb.net/spotify/country/nl_daily.html
170,-14,The Neighbourhood - Sweater Weather,1455.0,33.0,,27353.0,-1482.0,172697.0,-3359.0,46980285.0,https://kworb.net/spotify/country/nl_daily.html
171,-31,Suzan & Freek - Halverwege,137.0,5.0,,27276.0,-2437.0,175610.0,-4969.0,9302623.0,https://kworb.net/spotify/country/nl_daily.html
172,-13,Alex Warren - Carry You Home,740.0,12.0,,27216.0,-1467.0,168175.0,149.0,43203595.0,https://kworb.net/spotify/country/nl_daily.html
173,-18,"HUNTR/X - Golden (w/ EJae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",394.0,1.0,(x5),27162.0,-1705.0,208497.0,-1571.0,36405601.0,https://kworb.net/spotify/country/nl_daily.html
174,-16,Milky Chance - Stolen Dance,354.0,19.0,,27058.0,-1710.0,136029.0,321.0,6260051.0,https://kworb.net/spotify/country/nl_daily.html
175,+8,Linkin Park - In the End,329.0,44.0,,27032.0,270.0,133103.0,16.0,9963756.0,https://kworb.net/spotify/country/nl_daily.html
176,RE,Bad Bunny - BAILE INoLVIDABLE,164.0,7.0,,26904.0,,142076.0,-1863.0,7011661.0,https://kworb.net/spotify/country/nl_daily.html
177,+14,"Kris Kross Amsterdam - My Oh My (w/ LuÃ­sa Sonza, Willy William)",5.0,98.0,,26899.0,823.0,113877.0,26899.0,156572.0,https://kworb.net/spotify/country/nl_daily.html
178,+1,sombr - undressed,461.0,10.0,,26879.0,-314.0,107923.0,1175.0,31183478.0,https://kworb.net/spotify/country/nl_daily.html
179,-10,Michael Jackson - Chicago,86.0,58.0,,26852.0,-1113.0,198347.0,-2645.0,3398169.0,https://kworb.net/spotify/country/nl_daily.html
180,RE,Tame Impala - Dracula,290.0,20.0,,26778.0,,82334.0,-1835.0,13310011.0,https://kworb.net/spotify/country/nl_daily.html
181,-15,Michael Jackson - Smooth Criminal - 2012 Remaster,95.0,50.0,,26724.0,-1356.0,202732.0,-179.0,3809361.0,https://kworb.net/spotify/country/nl_daily.html
182,RE,Bad Bunny - TitÃ­ Me PreguntÃ³,123.0,15.0,,26679.0,,140709.0,-1694.0,5366945.0,https://kworb.net/spotify/country/nl_daily.html
183,-5,FLEMMING - 100% (w/ Mart Hoogkamer),434.0,3.0,(x1),26476.0,-751.0,209360.0,419.0,32056046.0,https://kworb.net/spotify/country/nl_daily.html
184,-17,WALK THE MOON - Shut Up and Dance,765.0,20.0,,26457.0,-1621.0,162178.0,-1381.0,20852818.0,https://kworb.net/spotify/country/nl_daily.html
185,-15,a-ha - Take on Me - 2015 Remaster,35.0,139.0,,26448.0,-1348.0,195329.0,-2426.0,1005523.0,https://kworb.net/spotify/country/nl_daily.html
186,=,Bruce Springsteen - Dancing In the Dark,536.0,72.0,,26393.0,-194.0,107801.0,26393.0,17763300.0,https://kworb.net/spotify/country/nl_daily.html
187,-16,George Ezra - Budapest,645.0,26.0,,26376.0,-1404.0,135217.0,26376.0,13876558.0,https://kworb.net/spotify/country/nl_daily.html
188,+8,Tino Martin - Jong & Dom,72.0,60.0,,26228.0,541.0,146366.0,26228.0,2650336.0,https://kworb.net/spotify/country/nl_daily.html
189,-9,Fat Papi - FREAKED OUT (w/ prodshushy),14.0,127.0,,26088.0,-1013.0,166483.0,-4838.0,405467.0,https://kworb.net/spotify/country/nl_daily.html
190,RE,Lost Frequencies - Black Friday (pretty like the sun) (w/ Tom Odell),496.0,4.0,,26035.0,,82346.0,26035.0,35099825.0,https://kworb.net/spotify/country/nl_daily.html
191,-14,The Outfield - Your Love,20.0,142.0,,25971.0,-1316.0,160055.0,-3842.0,564839.0,https://kworb.net/spotify/country/nl_daily.html
192,-28,Fleetwood Mac - Go Your Own Way - 2001 Remaster,62.0,103.0,,25918.0,-2376.0,201787.0,-1576.0,1897129.0,https://kworb.net/spotify/country/nl_daily.html
193,RE,Rene Schuurmans - Laat De Zon In Je Hart,115.0,69.0,,25915.0,,93119.0,25915.0,3615656.0,https://kworb.net/spotify/country/nl_daily.html
194,+5,Martin Garrix - Repeat It (w/ Ed Sheeran),41.0,74.0,,25858.0,261.0,165406.0,-1446.0,1259268.0,https://kworb.net/spotify/country/nl_daily.html
195,RE,Yves Berendse - Misschien Is Het Tijd,25.0,53.0,,25844.0,,172451.0,-3381.0,849835.0,https://kworb.net/spotify/country/nl_daily.html
196,-14,Plain White T's - Hey There Delilah,70.0,83.0,,25775.0,-1182.0,130058.0,-125.0,2394574.0,https://kworb.net/spotify/country/nl_daily.html
197,RE,Lil Kleine - Fashionweek (w/ Jonna Fraser),144.0,7.0,,25678.0,,25678.0,-1052.0,10334799.0,https://kworb.net/spotify/country/nl_daily.html
198,-11,Coldplay - Adventure Of A Lifetime,448.0,10.0,,25401.0,-1122.0,129694.0,-2767.0,14449134.0,https://kworb.net/spotify/country/nl_daily.html
